MMMMDCLXXII,MMMMDCLXXII,4672,4672,MMMMDCLXXII
MMDCCCLXXXIII,MMDCCCLXXXIII,2883,2883,MMDCCCLXXXIII
MMMDLXVIIII,MMMDLXIX,3569,3569,MMMDLXIX
MMMMDXCV,MMMMDXCV,4595,4595,MMMMDXCV
DCCCLXXII,DCCCLXXII,872,872,DCCCLXXII
MMCCCVI,MMCCCVI,2306,2306,MMCCCVI
MMMCDLXXXVII,MMMCDLXXXVII,3487,3487,MMMCDLXXXVII
MMMMCCXXI,MMMMCCXXI,4221,4221,MMMMCCXXI
MMMCCXX,MMMCCXX,3220,3220,MMMCCXX
MMMMDCCCLXXIII,MMMMDCCCLXXIII,4873,4873,MMMMDCCCLXXIII
MMMCCXXXVII,MMMCCXXXVII,3237,3237,MMMCCXXXVII
MMCCCLXXXXIX,MMCCCXCIX,2399,2399,MMCCCXCIX
MDCCCXXIIII,MDCCCXXIV,1824,1824,MDCCCXXIV
MMCXCVI,MMCXCVI,2196,2196,MMCXCVI
CCXCVIII,CCXCVIII,298,298,CCXCVIII
MMMCCCXXXII,MMMCCCXXXII,3332,3332,MMMCCCXXXII
MDCCXXX,MDCCXXX,1730,1730,MDCCXXX
MMMDCCCL,MMMDCCCL,3850,3850,MMMDCCCL
MMMMCCLXXXVI,MMMMCCLXXXVI,4286,4286,MMMMCCLXXXVI
MMDCCCXCVI,MMDCCCXCVI,2896,2896,MMDCCCXCVI
MMMDCII,MMMDCII,3602,3602,MMMDCII
MMMCCXII,MMMCCXII,3212,3212,MMMCCXII
MMMMDCCCCI,MMMMCMI,4901,4901,MMMMCMI
MMDCCCXCII,MMDCCCXCII,2892,2892,MMDCCCXCII
MDCXX,MDCXX,1620,1620,MDCXX
CMLXXXVII,CMLXXXVII,987,987,CMLXXXVII
MMMXXI,MMMXXI,3021,3021,MMMXXI
MMMMCCCXIV,MMMMCCCXIV,4314,4314,MMMMCCCXIV
MLXXII,MLXXII,1072,1072,MLXXII
MCCLXXVIIII,MCCLXXIX,1279,1279,MCCLXXIX
MMMMCCXXXXI,MMMMCCXLI,4241,4241,MMMMCCXLI
MMDCCCLXXII,MMDCCCLXXII,2872,2872,MMDCCCLXXII
MMMMXXXI,MMMMXXXI,4031,4031,MMMMXXXI
MMMDCCLXXX,MMMDCCLXXX,3780,3780,MMMDCCLXXX
MMDCCCLXXIX,MMDCCCLXXIX,2879,2879,MMDCCCLXXIX
MMMMLXXXV,MMMMLXXXV,4085,4085,MMMMLXXXV
MCXXI,MCXXI,1121,1121,MCXXI
MDCCCXXXVII,MDCCCXXXVII,1837,1837,MDCCCXXXVII
MMCCCLXVII,MMCCCLXVII,2367,2367,MMCCCLXVII
MCDXXXV,MCDXXXV,1435,1435,MCDXXXV
CCXXXIII,CCXXXIII,233,233,CCXXXIII
CMXX,CMXX,920,920,CMXX
MMMCLXIV,MMMCLXIV,3164,3164,MMMCLXIV
MCCCLXXXVI,MCCCLXXXVI,1386,1386,MCCCLXXXVI
DCCCXCVIII,DCCCXCVIII,898,898,DCCCXCVIII
MMMDCCCCXXXIV,MMMCMXXXIV,3934,3934,MMMCMXXXIV
CDXVIIII,CDXIX,419,419,CDXIX
MMCCXXXV,MMCCXXXV,2235,2235,MMCCXXXV
MDCCCXXXII,MDCCCXXXII,1832,1832,MDCCCXXXII
MMMMD,MMMMD,4500,4500,MMMMD
MMDCCLXIX,MMDCCLXIX,2769,2769,MMDCCLXIX
MMMMCCCLXXXXVI,MMMMCCCXCVI,4396,4396,MMMMCCCXCVI
MMDCCXLII,MMDCCXLII,2742,2742,MMDCCXLII
MMMDCCCVIIII,MMMDCCCIX,3809,3809,MMMDCCCIX
DCCLXXXIIII,DCCLXXXIV,784,784,DCCLXXXIV
